AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.95061654
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.977114
241,Joypur,Puruliya,GEN,Bharatiya Janta Party,0.95804626
242,Purulia,Puruliya,GEN,Bharatiya Janta Party,0.9211675
243,Manbazar,Puruliya,ST,All India Trinamool Congress,0.98169196
244,Kashipur,Puruliya,GEN,Bharatiya Janta Party,0.96948606
245,Para,Puruliya,SC,Bharatiya Janta Party,0.99910754
246,Raghunathpur,Puruliya,SC,Bharatiya Janta Party,0.94786465
247,Saltora,Bankura,SC,Bharatiya Janta Party,0.9442089
248,Chhatna,Bankura,GEN,Bharatiya Janta Party,0.9898093
249,Ranibandh,Bankura,ST,All India Trinamool Congress,0.9230386
250,Raipur,Bankura,ST,All India Trinamool Congress,0.98371524
251,Taldangra,Bankura,GEN,All India Trinamool Congress,0.97991973
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.9736258
253,Barjora,Bankura,GEN,All India Trinamool Congress,0.94686615
254,Onda,Bankura,GEN,Bharatiya Janta Party,0.9140608
255,Bishnupur,Bankura,SC,Bharatiya Janta Party,0.9573606
256,Katulpur,Bankura,SC,Bharatiya Janta Party,0.9893289
257,Indus,Bankura,SC,Bharatiya Janta Party,0.98070407
258,Sonamukhi,Bankura,SC,Bharatiya Janta Party,0.96007055
259,Khandaghosh,Barddhaman,SC,All India Trinamool Congress,0.9955
260,Burdwan Dakshin,Barddhaman,GEN,All India Trinamool Congress,0.9405242
261,Raina,Barddhaman,SC,All India Trinamool Congress,0.990657
262,Jamalpur,Barddhaman,SC,All India Trinamool Congress,0.9977258
263,Monteswar,Barddhaman,GEN,All India Trinamool Congress,0.9996662
264,Kalna,Barddhaman,SC,All India Trinamool Congress,0.9714423
265,Memari,Barddhaman,GEN,All India Trinamool Congress,0.9994623
266,Burdwan Uttar,Barddhaman,SC,All India Trinamool Congress,0.985973
267,Bhatar,Barddhaman,GEN,All India Trinamool Congress,0.99965966
268,Purbasthali Dakshin,Barddhaman,GEN,All India Trinamool Congress,0.9994679
269,Purbasthali Uttar,Barddhaman,GEN,All India Trinamool Congress,0.99660647
270,Katwa,Barddhaman,GEN,All India Trinamool Congress,0.99267817
271,Ketugram,Barddhaman,GEN,All India Trinamool Congress,0.99856853
272,Mongalkote,Barddhaman,GEN,All India Trinamool Congress,0.99952316
273,Ausgram,Barddhaman,SC,All India Trinamool Congress,0.94752645
274,Galsi,Barddhaman,SC,All India Trinamool Congress,0.9981528
275,Pandabeswar,Barddhaman,GEN,All India Trinamool Congress,0.962286
276,Durgapur Purba,Barddhaman,GEN,Bharatiya Janta Party,0.7398666
277,Durgapur Paschim,Barddhaman,GEN,Bharatiya Janta Party,0.9106405
278,Raniganj,Barddhaman,GEN,Bharatiya Janta Party,0.8528579
279,Jamuria,Barddhaman,GEN,All India Trinamool Congress,0.9733498
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.962441
281,Asansol Uttar,Barddhaman,GEN,All India Trinamool Congress,0.9148675
282,Kulti,Barddhaman,GEN,Bharatiya Janta Party,0.9574749
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.9923038
284,Dubrajpur,Birbhum,SC,Bharatiya Janta Party,0.91885465
285,Suri,Birbhum,GEN,All India Trinamool Congress,0.9720348
286,Bolpur,Birbhum,GEN,All India Trinamool Congress,0.99512047
287,Nanoor,Birbhum,SC,All India Trinamool Congress,0.78800744
288,Labhpur,Birbhum,GEN,All India Trinamool Congress,0.9959675
289,Sainthia,Birbhum,SC,All India Trinamool Congress,0.96523994
290,Mayureswar,Birbhum,GEN,All India Trinamool Congress,0.99250174
291,Rampurhat,Birbhum,GEN,All India Trinamool Congress,0.9843753
292,Hansan,Birbhum,GEN,All India Trinamool Congress,0.9997719
293,Nalhati,Birbhum,GEN,All India Trinamool Congress,0.9995167
294,Murarai,Birbhum,GEN,All India Trinamool Congress,0.99914515
