AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
195,Jangipara,Hugli,8.6,0.05,0.02,0.06,0.01,0.14
158,Kolkata Port,Kolkata,45.4,0.05,0.05,0.03,0.01,0.14
194,Chanditala,Hugli,20.2,0.05,0.02,0.06,0.01,0.14
196,Haripal,Hugli,10.6,0.05,0.02,0.06,0.01,0.14
201,Goghat,Hugli,1.9,0.05,0.02,0.06,0.01,0.14
165,Jorasanko,Kolkata,13.0,0.05,0.05,0.03,0.01,0.14
197,Dhanekhali,Hugli,13.0,0.05,0.02,0.06,0.01,0.14
190,Chunchura,Hugli,7.4,0.05,0.02,0.06,0.01,0.14
192,Pandua,Hugli,14.4,0.05,0.02,0.06,0.01,0.14
187,Champdani,Hugli,15.2,0.05,0.02,0.06,0.01,0.14
168,Kashipur-Belgachhia,Kolkata,26.6,0.05,0.05,0.03,0.01,0.14
186,Sreerampur,Hugli,12.6,0.05,0.02,0.06,0.01,0.14
160,Rashbehari,Kolkata,17.4,0.05,0.05,0.03,0.01,0.14
166,Shyampukur,Kolkata,22.1,0.05,0.05,0.03,0.01,0.14
200,Arambag,Hugli,3.3,0.05,0.02,0.06,0.01,0.14
199,Pursurah,Hugli,12.8,0.05,0.02,0.06,0.01,0.14
193,Saptagram,Hugli,5.2,0.05,0.02,0.06,0.01,0.14
188,Singur,Hugli,12.5,0.05,0.02,0.06,0.01,0.14
185,Uttarpara,Hugli,18.3,0.05,0.02,0.06,0.01,0.14
159,Bhabanipur,Kolkata,22.8,0.05,0.05,0.03,0.01,0.14
167,Maniktola,Kolkata,15.4,0.05,0.05,0.03,0.01,0.14
189,Chandannagar,Hugli,17.3,0.05,0.02,0.06,0.01,0.14
162,Chowrangee,Kolkata,41.1,0.05,0.05,0.03,0.01,0.14
198,Tarakeswar,Hugli,3.7,0.05,0.02,0.06,0.01,0.14
163,Entally,Kolkata,37.4,0.05,0.05,0.03,0.01,0.14
191,Balagarh,Hugli,2.7,0.05,0.02,0.06,0.01,0.14
161,Ballygunge,Kolkata,50.4,0.05,0.05,0.03,0.01,0.14
164,Beleghata,Kolkata,42.8,0.05,0.05,0.03,0.01,0.14
224,Kharagpur Sadar,Paschim Medinipur,2.2,0.05,0.02,0.02,0.01,0.1
83,Krishnanagar Uttar,Nadia,17.5,0.05,0.02,0.02,0.01,0.1
215,Khejuri,Purba Medinipur,8.5,0.05,0.02,0.02,0.01,0.1
88,Krishnaganj,Nadia,9.3,0.05,0.02,0.02,0.01,0.1
80,Kaliganj,Nadia,22.7,0.05,0.02,0.02,0.01,0.1
11,Kalchini,Jalpaiguri,14.8,0.05,0.02,0.02,0.01,0.1
241,Joypur,Puruliya,6.1,0.05,0.02,0.02,0.01,0.1
216,Kanthi Dakshin,Purba Medinipur,5.3,0.05,0.02,0.02,0.01,0.1
228,Kharagpur,Paschim Medinipur,18.3,0.05,0.02,0.02,0.01,0.1
22,Kalimpong,Darjiling,2.5,0.05,0.02,0.02,0.01,0.1
183,Jagatballavpur,Haora,12.5,0.05,0.02,0.02,0.01,0.1
170,Howrah Uttar,Haora,3.7,0.05,0.02,0.02,0.01,0.1
244,Kashipur,Puruliya,3.8,0.05,0.02,0.02,0.01,0.1
77,Karimpur,Nadia,10.7,0.05,0.02,0.02,0.01,0.1
213,Kanthi Uttar,Purba Medinipur,4.1,0.05,0.02,0.02,0.01,0.1
221,Gopiballavpur,Paschim Medinipur,12.1,0.05,0.02,0.02,0.01,0.1
257,Indus,Bankura,3.4,0.05,0.02,0.02,0.01,0.1
222,Jhargram,Paschim Medinipur,19.3,0.05,0.02,0.02,0.01,0.1
17,Jalpaiguri,Jalpaiguri,0.4,0.05,0.02,0.02,0.01,0.1
233,Garbeta,Paschim Medinipur,5.2,0.05,0.02,0.02,0.01,0.1
91,Chakdaha,Nadia,5.5,0.05,0.02,0.02,0.01,0.1
93,Haringhata,Nadia,7.3,0.05,0.02,0.02,0.01,0.1
292,Hansan,Birbhum,24.3,0.05,0.02,0.02,0.01,0.1
184,Domjur,Haora,17.1,0.05,0.02,0.02,0.01,0.1
92,Kalyani,Nadia,1.0,0.05,0.02,0.02,0.01,0.1
209,Haldia,Purba Medinipur,6.8,0.05,0.02,0.02,0.01,0.1
7,Dinhata,Koch Bihar,0.0,0.05,0.02,0.02,0.01,0.1
15,Dhupguri,Jalpaiguri,1.9,0.05,0.02,0.02,0.01,0.1
229,Debra,Paschim Medinipur,5.5,0.05,0.02,0.02,0.01,0.1
230,Daspur,Paschim Medinipur,12.1,0.05,0.02,0.02,0.01,0.1
