AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
220,Nayagram,Paschim Medinipur,ST,All India Trinamool Congress,0.8223330135332221,0.8223330135332221,0.15287120852546443,0.024795777941313563
107,Noapara,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.725872667663254,0.725872667663254,0.21920993417973939,0.05491739815700659
254,Onda,Bankura,GEN,Bharatiya Janta Party,0.9904367382513387,0.00774274630211049,0.9904367382513387,0.0018205154465507788
79,Palashipara,Nadia,GEN,All India Trinamool Congress,0.7912341489205739,0.7912341489205739,0.18298806908161527,0.0257777819978109
175,Panchla,Haora,GEN,All India Trinamool Congress,0.8134824194889548,0.8134824194889548,0.14930250908100318,0.037215071430042
275,Pandabeswar,Barddhaman,GEN,All India Trinamool Congress,0.566608385347381,0.566608385347381,0.37986472141415006,0.05352689323846889
192,Pandua,Hugli,GEN,All India Trinamool Congress,0.8169509079304543,0.8169509079304543,0.14896024050977166,0.03408885155977407
111,Panihati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7750514070032775,0.7750514070032775,0.17701352443511248,0.04793506856161004
205,Panskura Paschim,Purba Medinipur,GEN,Bharatiya Janta Party,0.5196795557839126,0.4472979615250089,0.5196795557839126,0.03302248269107857
204,Panskura Purba,Purba Medinipur,GEN,All India Trinamool Congress,0.6644426820971512,0.6644426820971512,0.31071215118579343,0.024845166717055434
245,Para,Puruliya,SC,Bharatiya Janta Party,0.9998637968530757,6.459635448212742e-05,0.9998637968530757,7.160679244223685e-05
212,Patashpur,Purba Medinipur,GEN,All India Trinamool Congress,0.54698374061791,0.54698374061791,0.4304149356542611,0.022601323727829005
130,Patharpratima,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7611636247791466,0.7611636247791466,0.14620511127885985,0.09263126394199366
27,Phansidewa,Darjiling,ST,Bharatiya Janta Party,0.9973437919476572,0.001703449468473089,0.9973437919476572,0.0009527585838696536
227,Pingla,Paschim Medinipur,GEN,All India Trinamool Congress,0.5925712793380515,0.5925712793380515,0.37807590607659086,0.02935281458535769
268,Purbasthali Dakshin,Barddhaman,GEN,All India Trinamool Congress,0.8296585991651857,0.8296585991651857,0.13648495377628728,0.033856447058526966
