AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Candidate_Present,Candidate_Placeholder,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
191,Balagarh,Hugli,SC,Bharatiya Janta Party,0.5287878745945606,0,0,0.4629498624398727,0.5287878745945606,0.008262262965566751
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.9947071202791653,0,0,0.004733089761472968,0.9947071202791653,0.0005597899593616404
169,Bally,Haora,GEN,All India Trinamool Congress,0.9015556309929056,0,0,0.9015556309929056,0.05845395955472251,0.03999040945237195
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.9910311818148084,0,0,0.9910311818148084,0.007434349483466378,0.001534468701725189
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.7406938682848351,0,0,0.7406938682848351,0.20117781942205293,0.05812831229311205
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.8128503431762433,0,0,0.8128503431762433,0.17435357454114406,0.012796082282612638
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9979770438717163,0,0,0.0018195686996263043,0.9979770438717163,0.00020338742865736093
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9986738851141997,0,0,0.0011432159956966403,0.9986738851141997,0.00018289889010356922
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.9971194021973658,0,0,0.0024498345415592373,0.9971194021973658,0.00043076326107495703
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.9114231767893969,0,0,0.9114231767893969,0.08417408927256671,0.00440273393803632
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9906035082483862,0,0,0.9906035082483862,0.0055503965263397625,0.0038460952252741295
119,Barasat,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9595987730425838,0,0,0.9595987730425838,0.029023212584746733,0.011378014372669387
260,Burdwan Dakshin,Barddhaman,GEN,All India Trinamool Congress,0.5493169743671192,0,0,0.5493169743671192,0.4432798859514999,0.007403139681380822
266,Burdwan Uttar,Barddhaman,SC,All India Trinamool Congress,0.8551062791234857,0,0,0.8551062791234857,0.13034765575091875,0.014546065125595553
253,Barjora,Bankura,GEN,All India Trinamool Congress,0.5763775485945614,0,0,0.5763775485945614,0.42041631253603884,0.003206138869399772
108,Barrackpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9389444099748636,0,0,0.9389444099748636,0.02412491822234983,0.03693067180278652
140,Baruipur Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9945379577713426,0,0,0.9945379577713426,0.004626576667907066,0.0008354655607504656
137,Baruipur Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9542969985942722,0,0,0.9542969985942722,0.037051863583060785,0.008651137822667078
128,Basanti,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9912138708769114,0,0,0.9912138708769114,0.008197198351760254,0.0005889307713283752
124,Basirhat Dakshin,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9505473776971156,0,0,0.9505473776971156,0.032397326426364274,0.017055295876520122
125,Basirhat Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8834160033136756,0,0,0.8834160033136756,0.02835142334048831,0.08823257334583608
154,Behala Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9767149005730851,0,0,0.9767149005730851,0.01735237028181696,0.0059327291450979106
153,Behala Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9528182218450316,0,0,0.9528182218450316,0.040757646773021634,0.006424131381946727
71,Beldanga,Murshidabad,GEN,All India Trinamool Congress,0.9873726458545449,0,0,0.9873726458545449,0.012005051915882813,0.0006223022295722979
164,Beleghata,Kolkata,GEN,All India Trinamool Congress,0.9895737265180757,0,0,0.9895737265180757,0.0087396793293499,0.0016865941525744522
159,Bhabanipur,Kolkata,GEN,All India Trinamool Congress,0.98721247958828,0,0,0.98721247958828,0.010076693110045777,0.0027108273016743893
62,Bhagabangola,Murshidabad,GEN,All India Trinamool Congress,0.8568981680255543,0,0,0.8568981680255543,0.1360133294111647,0.007088502563280964
214,Bhagabanpur,Purba Medinipur,GEN,Bharatiya Janta Party,0.7609305267186097,0,0,0.2309160347930756,0.7609305267186097,0.008153438488314681
148,Bhangar,South  Twenty Four Parganas,GEN,OTHER,0.8014138134922834,0,0,0.03981546907246868,0.15877071743524793,0.8014138134922834
