AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
184,Domjur,Haora,GEN,All India Trinamool Congress,0.9917173,0.9917173,0.8698547503905116,0.004210214,0.0994836577811971,0.0040725674,0.0306615918282911,Tapas Maity,???? ?????? ????? (Shri Gobinda Hazra),Aloke Koley,DULU DAS,0,0
75,Domkal,Murshidabad,GEN,All India Trinamool Congress,0.9901642,0.9901642,0.8037739182209794,0.008569647,0.187403779783626,0.0012661573,0.0088223019953945,Humayun Kabir (Ex IPS),???? ??? ????? ??? (Shri Nanda Dulal Pal),Smt. Sahnaz Begum,MOSTAFIJUR RAHAMAN,0,0
284,Dubrajpur,Birbhum,SC,Bharatiya Janta Party,0.91885465,0.08054028,0.0039999144979745,0.91885465,0.9957679247252996,0.00060511957,0.0002321607767256,,,,,0,0
114,Dum Dum,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9953733,0.9953733,0.9050485331252855,0.0035255153,0.0863569328830119,0.0011012068,0.0085945339917024,Bratya Basu,??. ?????? ????? (Adv. Arijit Bakshi),Smt. Susmita Biswas,MAYUKH BISWAS,0,0
110,Dum Dum Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9863794,0.9863794,0.7442935203739907,0.0120921675,0.2458063638656218,0.0015285247,0.0099001157603874,Chandrima Bhattacharya,???? ???? ?????? (Shri Saurav Sikdar),Dhananjoy Moitra,DIPSITA DHAR,0,0
277,Durgapur Paschim,Barddhaman,GEN,Bharatiya Janta Party,0.9106405,0.087870754,0.0044000462190606,0.9106405,0.9950240759959944,0.0014887006,0.000575877784945,Kavi Dutta,???? ??????? ????? ????? (Shri Lakshman Chandra Ghorui),Tarun Roy,PRAVAS SAIN,0,0
276,Durgapur Purba,Barddhaman,GEN,Bharatiya Janta Party,0.7398666,0.25637078,0.0156037900747054,0.7398666,0.9826271035242846,0.0037625502,0.0017691064010099,Pradip Mazumdar,???? ????? ???? ?????? (Shri Chandra Shekhar Banerjee),Debesh Chakraborty,SIMANTA CHATTERJEE,0,0
218,Egra,Purba Medinipur,GEN,All India Trinamool Congress,0.9834796,0.9834796,0.7085270600781101,0.014315753,0.2778395108954993,0.0022046845,0.0136334290263905,Tarun Maity,???? ????????? ??????? (Shri Dibendu Adhikari),Anjan Kumar Pattnayak,,0,0
51,Englishbazar,Maldah,GEN,Bharatiya Janta Party,0.9714065,0.025985142,0.0012232243703049,0.9714065,0.9978282106279192,0.0026084108,0.0009485650017757,,,,,0,0
163,Entally,Kolkata,GEN,All India Trinamool Congress,0.9993376,0.9993376,0.988055865889956,0.00034837704,0.0092791355994149,0.00031402204,0.0026649985106289,Sandipan Saha,??????? ???????? ???????? (Smt. Priyanka Tibrewal),Kashif Reza,,0,0
13,Falakata,Jalpaiguri,SC,Bharatiya Janta Party,0.98350185,0.014653044,0.0006818586421835,0.98350185,0.9986548586935567,0.0018451092,0.0006632826642596,,,,,0,0
144,Falta,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9995315,0.9995315,0.9913029947983176,0.00025864205,0.006910314134513,0.00020988044,0.0017866910671693,Jahangir Khan,???? ???????? ????? (Shri Debangshu Panda),Abdur Rajjak Molla,,0,0
55,Farakka,Murshidabad,GEN,All India Trinamool Congress,0.9990275,0.9990275,0.9786733241179604,0.0007312391,0.0192978282466297,0.00024128013,0.0020288476354097,Amirul Islam,???? ????? ????? (Shri Sunil Chowdhury),,MOJAFFAR HOSSAIN,0,0
97,Gaighata,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9833234,0.016483027,0.0007675437143852,0.9833234,0.9991628223718948,0.00019357291,6.963391371982482e-05,,,,,0,0
274,Galsi,Barddhaman,SC,All India Trinamool Congress,0.9981528,0.9981528,0.9556975488909378,0.0016569821,0.0427395537448844,0.00019016888,0.0015628973641776,,,,,0,0
41,Gangarampur,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.906603,0.07948472,0.0039802256408163,0.906603,0.9906378988421216,0.013912319,0.0053818755170618,,,,,0,0
233,Garbeta,Paschim Medinipur,GEN,All India Trinamool Congress,0.9872143,0.9872143,0.7468973765270867,0.012246383,0.2496008486949522,0.0005392264,0.0035017747779611,Uttara Singha (Hazra),???? ?????? ????? (Shri Pradeep Lodha),Siddhartha Bishoyee,,0,0
44,Gazole,Maldah,SC,Bharatiya Janta Party,0.92759037,0.06747077,0.0033160821288503,0.92759037,0.9948087244542834,0.0049388562,0.0018751934168662,,,,,0,0
