AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
276,Durgapur Purba,Barddhaman,2.0,0.16,Bharatiya Janta Party,0.9660811293840308,Bharatiya Janta Party,0.96813204901324
263,Monteswar,Barddhaman,15.3,0.16,All India Trinamool Congress,0.995844444784584,All India Trinamool Congress,0.8439677580061022
275,Pandabeswar,Barddhaman,2.4,0.16,All India Trinamool Congress,0.6810565732739762,All India Trinamool Congress,0.5856334602218536
268,Purbasthali Dakshin,Barddhaman,8.1,0.16,All India Trinamool Congress,0.9933069540156154,All India Trinamool Congress,0.8419151279063317
266,Burdwan Uttar,Barddhaman,7.2,0.16,All India Trinamool Congress,0.8551062791234857,All India Trinamool Congress,0.7293962334984453
278,Raniganj,Barddhaman,2.0,0.16,Bharatiya Janta Party,0.9817753180258902,Bharatiya Janta Party,0.9827690453206868
148,Bhangar,South  Twenty Four Parganas,10.9,0.16,OTHER,0.8014138134922834,OTHER,0.8017926160506309
155,Maheshtala,South  Twenty Four Parganas,26.6,0.16,All India Trinamool Congress,0.9937596100180032,All India Trinamool Congress,0.8422813259212838
133,Kulpi,South  Twenty Four Parganas,17.7,0.16,All India Trinamool Congress,0.9877730598874148,All India Trinamool Congress,0.8374369877777772
128,Basanti,South  Twenty Four Parganas,23.9,0.16,All India Trinamool Congress,0.9912138708769114,All India Trinamool Congress,0.8402216293259603
146,Bishnupur (SC),South  Twenty Four Parganas,25.0,0.16,All India Trinamool Congress,0.97860446069025,All India Trinamool Congress,0.8300125689763393
153,Behala Purba,South  Twenty Four Parganas,17.1,0.16,All India Trinamool Congress,0.9528182218450316,All India Trinamool Congress,0.809098250303105
137,Baruipur Purba,South  Twenty Four Parganas,22.2,0.16,All India Trinamool Congress,0.9542969985942722,All India Trinamool Congress,0.8102989726295811
135,Mandirbazar,South  Twenty Four Parganas,11.9,0.16,All India Trinamool Congress,0.969476811916817,All India Trinamool Congress,0.822615107913895
156,Budge Budge,South  Twenty Four Parganas,20.9,0.16,All India Trinamool Congress,0.9974430695973332,All India Trinamool Congress,0.8452606745160695
142,Magrahat Paschim,South  Twenty Four Parganas,24.4,0.16,All India Trinamool Congress,0.993253855870292,All India Trinamool Congress,0.8418721705924587
157,Metiaburuz,South  Twenty Four Parganas,61.8,0.16,All India Trinamool Congress,0.9881774918382752,All India Trinamool Congress,0.8377643393013932
129,Kultali,South  Twenty Four Parganas,20.8,0.16,All India Trinamool Congress,0.9437171700431392,All India Trinamool Congress,0.8017048793219791
141,Magrahat Purba,South  Twenty Four Parganas,26.4,0.16,All India Trinamool Congress,0.98717626571436,All India Trinamool Congress,0.8369539140604076
144,Falta,South  Twenty Four Parganas,19.7,0.16,All India Trinamool Congress,0.995274066352767,All India Trinamool Congress,0.8435064083744971
139,Canning Purba,South  Twenty Four Parganas,23.0,0.16,All India Trinamool Congress,0.8359355199632045,All India Trinamool Congress,0.7136746156050683
149,Kasba,South  Twenty Four Parganas,28.8,0.16,All India Trinamool Congress,0.9695927723567872,All India Trinamool Congress,0.8227091263644308
131,Kakdwip,South  Twenty Four Parganas,11.6,0.16,All India Trinamool Congress,0.5889003283749503,All India Trinamool Congress,0.5085676987274447
127,Gosaba,South  Twenty Four Parganas,12.2,0.16,All India Trinamool Congress,0.9694829415864707,All India Trinamool Congress,0.8226200777548716
143,Diamond Harbour,South  Twenty Four Parganas,7.6,0.16,All India Trinamool Congress,0.872672410496461,All India Trinamool Congress,0.7437775417881196
151,Sonarpur Uttar,South  Twenty Four Parganas,15.1,0.16,All India Trinamool Congress,0.9626219648532112,All India Trinamool Congress,0.8170555548563684
147,Sonarpur Dakshin,South  Twenty Four Parganas,11.4,0.16,All India Trinamool Congress,0.949650830566334,All India Trinamool Congress,0.8065258751182969
132,Sagar,South  Twenty Four Parganas,12.5,0.16,All India Trinamool Congress,0.8542497828417295,All India Trinamool Congress,0.7286944284162913
140,Baruipur Paschim,South  Twenty Four Parganas,29.5,0.16,All India Trinamool Congress,0.9945379577713426,All India Trinamool Congress,0.8429109725540578
145,Satgachhia,South  Twenty Four Parganas,10.0,0.16,All India Trinamool Congress,0.9023069995787332,All India Trinamool Congress,0.7679865528015083
134,Raidighi,South  Twenty Four Parganas,15.0,0.16,All India Trinamool Congress,0.883369397354766,All India Trinamool Congress,0.7525237165939399
130,Patharpratima,South  Twenty Four Parganas,9.6,0.16,All India Trinamool Congress,0.8913468628424775,All India Trinamool Congress,0.759040722978677
154,Behala Paschim,South  Twenty Four Parganas,22.2,0.16,All India Trinamool Congress,0.9767149005730852,All India Trinamool Congress,0.8284816918704118
138,Canning Paschim,South  Twenty Four Parganas,16.4,0.16,All India Trinamool Congress,0.9656252094275352,All India Trinamool Congress,0.8194917357802771
152,Tollyganj,South  Twenty Four Parganas,25.7,0.16,All India Trinamool Congress,0.941292244792876,All India Trinamool Congress,0.7997339135034962
